dist, angle, rangeIR, mts, flag
7, 0, 1119234, 42238, 1
7, 1, 1441554, 42268, 1
7, 1, 1485817, 42298, 1
7, 1, 1362821, 42328, 1
6, 0, 1197015, 42358, 1
8, 1, 1026389, 42388, 1
7, 1, 731518, 42418, 1
7, 1, 667954, 42448, 1
7, 0, 741333, 42478, 1
7, 1, 412681, 42508, 1
7, 1, 114971, 42538, 1
7, 1, 82745, 42568, 1
7, 0, 79714, 42598, 1
7, 1, 80028, 42629, 1
7, 1, 79572, 42659, 1
7, 1, 79572, 42689, 1
7, 0, 78809, 42719, 1
7, 1, 79152, 42749, 1
7, 1, 80193, 42779, 1
7, 1, 80046, 42809, 1
7, 0, 78677, 42839, 1
7, 1, 78992, 42869, 1
7, 1, 79832, 42899, 1
7, 1, 78690, 42929, 1
7, 1, 77932, 42959, 1
7, 0, 78799, 42989, 1
7, 1, 80055, 43020, 1
7, 1, 123191, 43050, 1
7, 1, 219806, 43080, 1
7, 0, 313939, 43110, 1
7, 1, 740909, 43140, 1
7, 1, 1223970, 43170, 1
6, 0, 1448659, 43200, 1
7, 1, 1749733, 43230, 1
7, 1, 1955135, 43260, 1
7, 1, 1990437, 43290, 1
8, 1, 2045488, 43320, 1
7, 0, 2236477, 43350, 1
7, 1, 2409119, 43380, 1
7, 1, 2320734, 43410, 1
7, 1, 2142733, 43440, 1
7, 0, 2167622, 43470, 1
7, 1, 2216882, 43501, 1
7, 1, 2140365, 43531, 1
7, 0, 2070989, 43561, 1
7, 1, 2017793, 43591, 1
7, 1, 1896204, 43621, 1
7, 1, 1822513, 43651, 1
7, 0, 1845864, 43681, 1
7, 1, 1623576, 43711, 1
7, 1, 1459366, 43741, 1
7, 1, 1483232, 43771, 1
7, 0, 1383145, 43801, 1
7, 1, 1162225, 43831, 1
7, 1, 971803, 43861, 1
7, 1, 938290, 43892, 1
7, 1, 934384, 43922, 1
7, 0, 689801, 43952, 1
7, 1, 346062, 43982, 1
7, 1, 195310, 44012, 1
7, 1, 142707, 44042, 1
6, 0, 368216, 44072, 1
8, 1, 633264, 44102, 1
6, 1, 691979, 44132, 1
8, 1, 822861, 44162, 1
7, 0, 901487, 44192, 1
7, 1, 764725, 44222, 1
7, 1, 412983, 44252, 1
7, 1, 128215, 44283, 1
6, 0, 85245, 44313, 1
8, 1, 80207, 44343, 1
7, 1, 84516, 44373, 1
7, 0, 212061, 44403, 1
6, 1, 248867, 44433, 1
8, 1, 123700, 44463, 1
7, 1, 82335, 44493, 1
7, 1, 80304, 44523, 1
7, 0, 79264, 44553, 1
7, 1, 78803, 44583, 1
7, 1, 79610, 44613, 1
